question,reference,prediction,topic,rougeL
Nữ trinh tử và xấu hổ có đặc điểm gì giống nhau?,Cả hai đều thuộc họ Trinh nữ (Mimosaceae).,"Cây xấu hổ có quả hình trứng hoặc hình bầu dục, có quả hơi cong, dài 7mm  10mm, đường kính khoảng 3mm, vỏ ngoài màu đen xám, có vằn nhăn, hai đầu tròn tày, một đầu có vết của cuống quả.",3,0.136986301369863
"Ngoài chấn thương đầu, còn có những nguyên nhân nào gây ra chóng mặt không?","Có rất nhiều nguyên nhân gây ra chóng mặt, như: rối loạn tiền đình, nhiễm trùng tai, tụt huyết áp, thiếu máu, sử dụng một số loại thuốc, v.v.","Có, chóng mặt có thể do chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu, chấn thương đầu,",1,0.125
Những bệnh lý nào tại tuyến yên có thể gây ra suy giảm tuyến thượng thận thứ phát?,U tuyến yên.,"Những bệnh lý tại tuyến yên có thể gây ra suy giảm tuyến thượng thận thứ phát bao gồm: U tuyến yên hoặc vùng dưới đồi (một vùng ở não bộ), nhiễm trùng, ung thư, nhồi máu não, chấn thương sọ não, bất thường tuyến yên do đột biến gen.",1,0.11494252873563218
Tác đụng của chữ thập trong Cosele là: ?,Không có dữ liệu,"Chữ thập giúp bảo vệ tế bào khỏi bị hư hại, giảm tỷ lệ ung thư tuyến tiền liệt, có hiệu quả trong việc điều trị hen suyễn, viêm khớp, gàu và cả vô sinh.",2,0.10344827586206896
"Sau khi thu hoạch, bàn long sâm được làm khô như thế nào?",Phơi khô.,Bàn long sâm được làm khô bằng cách thu hái vào mùa thu.,3,0.08333333333333333
Mục tiêu nào sau đây không phải là mục tiêu điều trị của bệnh khổng lồ?,Bình thường hóa GH và IGF-1 trong giới hạn bình thường.,Giảm tỉ lệ tử vong.,1,0.08
Bạn cần lưu ý những điều gì khi bảo quản Batigan?,Để xa tầm tay trẻ em.,"Bạn cần bảo quản Batigan nơi khô ráo, dưới 30C và tránh ánh sáng.",2,0.06896551724137931
"Bướm bạc thuộc loại dược liệu, đúng hay sai?","Đúng. Bướm bạc là một loại dược liệu quý, được sử dụng nhiều trong các bài thuốc Đông y.",Đúng.,3,0.06451612903225806
Thuật ngữ y khoa mô tả tình trạng người phụ nữ phát triển các đặc điểm cơ thể do tăng sản xuất hormone androgen là gì?,Nam hóa.,"Thuật ngữ y khoa mô tả tình trạng người phụ nữ phát triển các đặc điểm cơ thể do tăng sản xuất hormone androgen là hói đầu kiểu nam, giọng trầm, lông mọc nhiều ở nơi không phù hợp như cằm, ria mép.",1,0.05882352941176471
"Trong những biểu hiện thường gặp của bệnh nấm da đùi, xuất hiện tình trạng nào trên da?","Trong những biểu hiện thường gặp của bệnh nấm da đùi, trên da nổi mảng hình vòng có màu hồng hay đỏ.",Ban đỏ.,1,0.0
