question,reference,prediction,topic,rougeL
Liều ban đầu được khuyến cáo của acenocoumarol là bao nhiêu?,Liều ban đầu được khuyến cáo của acenocoumarol là 2 - 4 mg/ngày.,Liều ban đầu được khuyến cáo của acenocoumarol là 2  4 mg/ngày.,2,1.0
Suy tuyến yên là gì?,Suy tuyến yên là hậu quả của tình trạng giảm sản xuất của một hoặc nhiều hormone của tuyến yên.,Suy tuyến yên là hậu quả của tình trạng giảm sản xuất của một hoặc nhiều hormone của tuyến yên.,1,1.0
Sơn thù du thuộc họ nào?,Sơn thù du thuộc họ sơn thù (Cornaceae).,Sơn thù du thuộc họ sơn thù (Cornaceae).,3,1.0
Khi nào bệnh gai cột sống cần phải phẫu thuật?,"Bệnh gai cột sống cần phải phẫu thuật khi gai chèn ép vào tủy, làm hẹp ống tủy, chèn ép dây thần kinh và gây đau nghiêm trọng, hạn chế vận động.","Bệnh gai cột sống cần phải phẫu thuật khi gai chèn ép vào tủy, làm hẹp ống tủy, chèn ép dây thần kinh và gây đau nghiêm trọng, hạn chế vận động.",1,1.0
"Khi dùng chung Algelstad với các thuốc khác, nên cách nhau bao lâu?","Khi dùng chung Algelstad với các thuốc khác, nên cách nhau 2 giờ.","Khi dùng chung Algelstad với các thuốc khác, nên cách nhau 2 giờ.",2,1.0
"Theo Y học cổ truyền, cao hổ cốt có tác dụng gì?","Theo Y học cổ truyền, cao hổ cốt có tác dụng bổ thận, tráng dương, giảm đau, trừ phong thấp, làm mạnh gân cốt, tăng cường sinh lý…","Theo Y học cổ truyền, cao hổ cốt có tác dụng bổ thận, tráng dương, giảm đau, trừ phong thấp, làm mạnh gân cốt, tăng cường sinh lý.",3,1.0
Rau ngót có tác dụng gì đối với vết nứt núm vú?,Rau ngót có tác dụng dịu mát chỗ nứt và chống nhiễm khuẩn.,Rau ngót có tác dụng dịu mát chỗ nứt và chống nhiễm khuẩn.,3,1.0
Bệnh vảy phấn hồng là gì?,"Bệnh vảy phấn hồng là một bệnh lí phát ban cấp tính, khá phổ biến ở người trẻ.","Bệnh vảy phấn hồng là một bệnh lí phát ban cấp tính, khá phổ biến ở người trẻ.",1,1.0
Thịt và trứng cà cuống có những thành phần dinh dưỡng gì?,"Thịt và trứng cà cuống chứa protein với hàm lượng khá cao, lipid và các vitamin.","Thịt và trứng cà cuống chứa protein với hàm lượng khá cao, lipid và các vitamin.",3,1.0
Trường hợp nào có thể sử dụng Ambroco cùng với các thuốc khác?,"Có thể sử dụng Ambroco chung với các thuốc khác, nhất là các thuốc hay dùng trong hội chứng phế quản, ví dụ như: corticosteroid, thuốc lợi tiểu, giãn phế quản và kháng sinh.","Có thể sử dụng Ambroco chung với các thuốc khác, nhất là các thuốc hay dùng trong hội chứng phế quản, ví dụ như: corticosteroid, thuốc lợi tiểu, giãn phế quản và kháng sinh.",2,1.0
