question,reference,prediction,topic,rougeL,ref_len,pred_len,len_ratio
Khi nào nổi hạch ở hàm dưới có thể là dấu hiệu gợi ý ung thư?,"Khi nổi hạch ở hàm dưới kèm theo các biểu hiện như đau họng kéo dài, khó nuốt, sụt cân không rõ lý do, thay đổi giọng nói, đau tai, đau đầu,... thì có thể là dấu hiệu gợi ý ung thư vùng đầu cổ như ung thư vòm họng.",Nổi hạch ở hàm dưới có thể là dấu hiệu gợi ý ung thư vùng đầu cổ như ung thư vòm họng.,1,0.5940594059405941,50,22,0.43999999999120004
Nguyên nhân nào gây ra rối loạn chức năng não sau hóa trị là gì?,Rối loạn chức năng não sau hóa trị có thể do thiếu máu.,"Nguyên nhân gây ra rối loạn chức năng não sau hóa trị là do thiếu máu, mệt mỏi, nhiễm trùng, mãn kinh hoặc thay đổi nội tiết tố (do điều trị ung thư).",1,0.5135135135135135,13,33,2.5384615382662723
Mục đích của việc sử dụng thuốc Aspirin sau khi ăn là gì?,Giảm nguy cơ gây loét đường tiêu hóa.,Mục đích của việc sử dụng thuốc Aspirin sau khi ăn là để giảm thiểu gây nguy cơ loét đường tiêu hóa.,2,0.4888888888888889,8,22,2.74999999965625
Cam thảo dây gồm những bộ phận nào được dùng làm thuốc?,"Cam thảo dây gồm hai bộ phận được dùng làm thuốc, đó là rễ và lá.",Cam thảo dây gồm rễ và lá.,3,0.625,16,7,0.43749999997265626
Tác dụng chính của Sâm vũ diệp là gì?,"Tác dụng chính của Sâm vũ diệp là làm tăng hàm lượng oxy trong máu, tăng khả năng tuần hoàn máu đến các cơ quan, từ đó giúp hỗ trợ điều trị các bệnh về tim mạch.",Sâm vũ diệp có tác dụng bổ Can Thận.,3,0.25000000000000006,37,9,0.24324324323666913
Độ tuổi nào thì không nên dùng thuốc Ceelin?,Dưới 3 tháng tuổi.,Không nên dùng thuốc Ceelin cho trẻ trên 3 tháng tuổi.,2,0.48,4,11,2.7499999993125
"Ngoài tiêm phòng các loại vắc-xin, có thể áp dụng phương pháp nào để phòng ngừa bệnh viêm phổi?","Rửa tay thường xuyên, duy trì vệ sinh tốt sau khi xì mũi, sau khi chăm sóc người ốm.","Ngoài tiêm phòng các loại vắc-xin, có thể áp dụng biện pháp: rửa tay, duy trì vệ sinh tốt, rửa tay thường xuyên, đặc biệt khi chăm sóc người bệnh, sau khi xì mũi, giảm ô nhiễm không khí môi trường xung quanh, hạn chế tiếp xúc với khói thuốc hoặc bỏ thuốc lá, tránh tiếp xúc với khói thuốc hoặc bỏ thuốc lá.",1,0.2575757575757576,19,64,3.3684210524542935
Van nào ngăn cách giữa thực quản và dạ dày?,Cơ vòng thực quản dưới ngăn cách giữa thực quản và dạ dày.,Van thực quản dưới.,1,0.4,13,4,0.30769230766863903
"Người có triệu chứng tiêu hóa như lạnh bụng, tiêu chảy có nên sử dụng chè dưỡng nhan không?","Người có triệu chứng tiêu hóa như lạnh bụng, tiêu chảy không nên sử dụng chè dưỡng nhan vì chè dưỡng nhan có tính hàn nên có thể làm nặng thêm các triệu chứng này.",Không nên sử dụng chè dưỡng nhan vì chè có tính hàn.,3,0.4675324675324675,35,12,0.342857142847347
Những biểu hiện của thể bại liệt là gì?,"Các biểu hiện của thể bại liệt là bệnh nhân liệt tiến triển, dần ra toàn thân, bí tiểu tiện, đại tiện và liệt các cơ hô hấp.","Bệnh nhân liệt tiến triển, dần ra toàn thân, bí tiểu tiện, đại tiện,...",1,0.684931506849315,28,14,0.49999999998214284
